farmer_id,application_year,district,land_area_acres,crop_type,pm_kisan_status,historical_repayment_score,irrigation_type,land_ownership,soil_type,sales_channel,annual_income_inr,liability_ratio_pct,rainfall_deviation_pct,ndvi_score,defaulted_in_next_12_months,target_entitlement_score
F00514,2024,Cuttack,14.82,Wheat,Yes,54.99,Rainfed,Owned,Laterite,Local Trader,244723.93,15.84,9.95,0.49,0,893.11
F00515,2024,Puri,5.66,Millets,Yes,16.35,Irrigated,Owned,Sandy Loam,Local Trader,628797.95,28.09,-3.57,0.383,0,755.86
F00516,2022,Cuttack,4.56,Rice,No,29.86,Rainfed,Owned,Black,Contract Buyer,398375.92,27.51,-15.16,0.49,1,220.64
F00517,2023,Ganjam,12.31,Millets,Yes,64.44,Rainfed,Tenant,Sandy Loam,APMC,246431.17,14.86,16.16,0.66,0,907.2
F00518,2024,Bhadrak,6.74,Wheat,No,65.18,Irrigated,Owned,Sandy Loam,Contract Buyer,93836.46,13.35,6.02,0.481,0,773.61
F00519,2022,Puri,13.16,Wheat,No,66.34,Rainfed,Tenant,Sandy Loam,Contract Buyer,268591.13,27.29,-9.51,0.519,0,817.01
F00520,2024,Mayurbhanj,17.12,Wheat,Yes,85.08,Irrigated,Owned,Black,APMC,210216.79,13.93,-16.23,0.433,0,962.91
F00521,2022,Ganjam,17.15,Rice,Yes,65.06,Rainfed,Owned,Red,Local Trader,614737.66,41.32,12.18,0.383,0,888.88
F00522,2022,Ganjam,7.35,Maize,No,87.17,Rainfed,Owned,Red,Contract Buyer,358869.45,19.53,3.92,0.806,0,808.31
F00523,2024,Puri,12.52,Millets,Yes,68.04,Rainfed,Owned,Sandy Loam,FPO,542082.09,12.68,-8.26,0.553,0,926.08
F00524,2022,Cuttack,1.09,Rice,No,92.46,Irrigated,Owned,Laterite,Contract Buyer,332335.62,27.56,3.58,0.4,0,761.07
F00525,2023,Balasore,5.23,Cotton,Yes,74.81,Irrigated,Owned,Laterite,Local Trader,561328.63,34.72,23.74,0.547,0,820.31
F00526,2023,Puri,1.89,Maize,No,68.06,Irrigated,Tenant,Alluvial,APMC,646711.75,13.9,-4.88,0.648,0,704.22
F00527,2024,Balasore,10.63,Rice,Yes,66.48,Rainfed,Owned,Laterite,Contract Buyer,115794.57,41.32,15.68,0.486,0,905.7
F00528,2022,Mayurbhanj,5.3,Sugarcane,Yes,61.47,Irrigated,Owned,Alluvial,Local Trader,93246.82,14.73,-35.08,0.701,1,335.82
F00529,2023,Mayurbhanj,2.15,Wheat,Yes,41.09,Irrigated,Tenant,Clay Loam,APMC,320251.0,21.4,28.34,0.48,0,763.13
F00530,2024,Ganjam,8.5,Soybean,Yes,91.5,Irrigated,Tenant,Alluvial,FPO,411081.58,13.11,29.87,0.477,0,923.45
F00531,2023,Puri,16.66,Millets,No,98.64,Irrigated,Tenant,Red,FPO,118240.81,9.92,1.96,0.408,0,880.98
F00532,2024,Puri,15.88,Soybean,Yes,73.11,Rainfed,Owned,Alluvial,Local Trader,125616.91,30.73,7.18,0.537,0,908.72
F00533,2023,Mayurbhanj,16.95,Soybean,No,43.35,Irrigated,Owned,Black,Contract Buyer,125189.03,10.36,13.34,0.577,1,313.98
F00534,2024,Mayurbhanj,11.96,Sugarcane,No,88.9,Irrigated,Owned,Laterite,FPO,548405.76,39.94,3.49,0.594,0,803.08
F00535,2024,Balasore,11.29,Wheat,Yes,32.29,Rainfed,Tenant,Red,APMC,303953.48,14.52,0.4,0.667,0,830.93
F00536,2024,Bhadrak,4.29,Cotton,Yes,67.43,Rainfed,Tenant,Sandy Loam,FPO,605483.35,36.82,21.66,0.479,0,810.47
F00537,2022,Ganjam,6.1,Rice,Yes,44.85,Irrigated,Owned,Alluvial,Contract Buyer,504249.32,29.27,3.7,0.481,0,789.17
F00538,2022,Puri,8.18,Maize,Yes,50.21,Irrigated,Tenant,Black,APMC,463478.15,22.14,9.65,0.706,0,811.74
F00539,2024,Puri,3.9,Wheat,Yes,70.03,Irrigated,Owned,Clay Loam,APMC,408461.52,41.18,-12.3,0.599,0,847.99
F00540,2024,Bhadrak,1.66,Rice,No,75.35,Irrigated,Owned,Alluvial,Contract Buyer,274437.35,23.54,34.15,0.522,0,748.51
F00541,2022,Cuttack,17.99,Wheat,Yes,84.68,Rainfed,Tenant,Sandy Loam,Contract Buyer,309446.47,24.74,-30.06,0.397,0,929.58
F00542,2022,Ganjam,6.23,Maize,No,68.6,Rainfed,Owned,Clay Loam,APMC,82704.82,13.08,-4.45,0.167,0,743.11
F00543,2022,Balasore,4.02,Wheat,Yes,66.33,Irrigated,Owned,Clay Loam,FPO,266695.88,39.25,-2.19,0.595,0,824.16
F00544,2024,Ganjam,17.31,Sugarcane,Yes,77.55,Irrigated,Owned,Sandy Loam,APMC,362851.38,3.43,-36.84,0.644,0,884.41
F00545,2022,Bhadrak,15.38,Soybean,Yes,92.41,Rainfed,Owned,Red,Local Trader,211760.49,22.14,-7.93,0.52,0,931.88
F00546,2023,Bhadrak,4.42,Rice,No,69.88,Rainfed,Owned,Alluvial,Contract Buyer,120452.37,10.73,13.77,0.413,0,744.92
F00547,2022,Cuttack,7.82,Cotton,Yes,71.15,Rainfed,Tenant,Alluvial,FPO,181940.82,18.27,8.86,0.815,0,832.46
F00548,2023,Bhadrak,12.74,Wheat,No,38.17,Irrigated,Owned,Red,Contract Buyer,338668.16,9.95,-13.03,0.594,0,760.31
F00549,2022,Ganjam,5.9,Rice,No,64.28,Rainfed,Owned,Alluvial,FPO,83104.04,30.24,-3.11,0.474,0,740.99
F00550,2022,Puri,4.55,Wheat,Yes,98.61,Rainfed,Owned,Clay Loam,Local Trader,605258.42,25.14,2.55,0.67,0,900.44
F00551,2022,Balasore,10.75,Rice,Yes,62.49,Irrigated,Tenant,Alluvial,APMC,525448.37,18.52,-11.39,0.641,0,870.26
F00552,2022,Puri,4.15,Millets,No,61.07,Rainfed,Tenant,Alluvial,Contract Buyer,575782.87,24.93,-12.72,0.45,0,718.5
F00553,2024,Puri,9.83,Millets,Yes,57.91,Irrigated,Owned,Sandy Loam,APMC,235501.56,40.74,3.27,0.214,1,449.64
F00554,2022,Bhadrak,11.12,Cotton,No,60.63,Irrigated,Tenant,Black,Local Trader,135679.42,26.29,-8.45,0.506,0,743.28
F00555,2022,Bhadrak,7.5,Cotton,No,91.34,Irrigated,Owned,Black,Local Trader,127992.72,11.04,-19.72,0.486,0,772.76
F00556,2023,Bhadrak,9.85,Millets,Yes,100,Irrigated,Tenant,Black,FPO,415347.42,11.96,21.14,0.458,0,962.25
F00557,2022,Ganjam,3.41,Soybean,Yes,57.33,Irrigated,Owned,Alluvial,Contract Buyer,262573.1,38.61,2.49,0.621,0,783.11
F00558,2024,Puri,5.6,Maize,No,87.8,Irrigated,Tenant,Laterite,FPO,422624.03,21.84,6.35,0.509,0,799.59
F00559,2024,Ganjam,7.87,Wheat,No,74.58,Irrigated,Tenant,Red,FPO,438527.29,15.43,3.27,0.406,0,801.77
F00560,2023,Cuttack,4.36,Rice,Yes,86.19,Irrigated,Owned,Laterite,Contract Buyer,161293.02,40.85,7.47,0.707,0,880.9
F00561,2022,Balasore,2.58,Cotton,No,43.03,Irrigated,Tenant,Laterite,FPO,211209.64,1.09,-15.68,0.67,0,633.54
F00562,2023,Balasore,3.52,Maize,Yes,77.1,Irrigated,Tenant,Alluvial,Local Trader,101607.02,24.24,6.53,0.449,0,841.77
F00563,2024,Mayurbhanj,5.92,Wheat,No,56.1,Rainfed,Owned,Black,Contract Buyer,111282.7,0.18,-13.62,0.578,0,748.74
F00564,2022,Puri,6.77,Soybean,No,32.34,Irrigated,Owned,Sandy Loam,APMC,461070.71,2.08,23.24,0.712,0,664.01
F00565,2022,Puri,4.49,Millets,No,72.89,Rainfed,Owned,Black,FPO,244731.28,18.33,-21.24,0.531,0,759.38
F00566,2024,Cuttack,15.3,Sugarcane,No,43.96,Irrigated,Owned,Sandy Loam,Contract Buyer,512547.46,40.42,-18.2,0.669,0,710.82
F00567,2022,Ganjam,17.85,Rice,No,70.74,Irrigated,Owned,Laterite,Contract Buyer,213005.17,5.34,-14.1,0.627,0,813.86
F00568,2023,Cuttack,2.81,Maize,Yes,72.58,Rainfed,Owned,Laterite,APMC,109955.77,0.71,12.01,0.604,1,391.18
F00569,2024,Balasore,16.43,Rice,Yes,48.16,Irrigated,Owned,Sandy Loam,APMC,461688.0,33.67,-6.28,0.495,0,881.17
F00570,2024,Balasore,15.02,Millets,Yes,71.73,Irrigated,Owned,Red,Contract Buyer,380683.8,18.66,-18.51,0.537,0,941.33
F00571,2024,Balasore,17.83,Rice,Yes,60.56,Rainfed,Owned,Clay Loam,APMC,276355.17,39.85,-17.39,0.534,0,904.42
F00572,2022,Ganjam,1.62,Rice,No,69.75,Rainfed,Owned,Alluvial,Local Trader,389484.25,34.55,-18.69,0.419,1,276.67
F00573,2023,Cuttack,16.52,Wheat,No,85.92,Irrigated,Owned,Laterite,Local Trader,503888.31,18.63,-14.75,0.396,0,857.89
F00574,2022,Mayurbhanj,3.14,Maize,No,45.21,Irrigated,Owned,Alluvial,FPO,395316.98,16.9,1.89,0.53,0,659.39
F00575,2022,Ganjam,2.96,Soybean,Yes,83.33,Irrigated,Owned,Black,Contract Buyer,472012.89,38.97,-0.38,0.469,0,832.04
F00576,2022,Puri,8.02,Millets,No,70.48,Rainfed,Owned,Sandy Loam,Contract Buyer,131750.56,19.93,15.15,0.61,0,791.94
F00577,2023,Cuttack,9.62,Cotton,No,51.36,Irrigated,Owned,Clay Loam,Local Trader,335207.26,3.87,9.49,0.538,0,712.67
F00578,2023,Bhadrak,14.23,Maize,No,66.1,Rainfed,Owned,Red,APMC,519403.63,28.0,13.61,0.55,0,800.1
F00579,2023,Ganjam,6.63,Cotton,Yes,90.63,Irrigated,Owned,Black,FPO,406711.05,37.52,8.92,0.584,0,863.42
F00580,2023,Bhadrak,13.47,Millets,No,42.16,Irrigated,Owned,Red,Contract Buyer,297895.04,9.74,19.99,0.672,0,773.19
F00581,2023,Bhadrak,3.9,Wheat,Yes,79.04,Irrigated,Owned,Sandy Loam,Local Trader,472360.64,25.09,5.09,0.67,0,856.33
F00582,2022,Balasore,9.6,Sugarcane,Yes,65.55,Irrigated,Owned,Alluvial,FPO,560591.1,29.45,-6.11,0.497,0,812.22
F00583,2022,Bhadrak,13.82,Sugarcane,Yes,80.08,Irrigated,Owned,Sandy Loam,Contract Buyer,139351.86,9.31,-3.27,0.796,0,881.81
F00584,2024,Ganjam,2.93,Cotton,No,69.08,Rainfed,Owned,Red,APMC,547414.32,3.81,-19.02,0.65,0,702.35
F00585,2023,Ganjam,17.0,Sugarcane,Yes,63.88,Rainfed,Tenant,Alluvial,APMC,473122.74,36.27,-12.03,0.346,0,845.52
F00586,2022,Mayurbhanj,11.86,Soybean,Yes,87.86,Irrigated,Tenant,Red,APMC,87500.5,37.1,0.5,0.463,0,932.27
F00587,2024,Ganjam,13.43,Cotton,No,71.86,Irrigated,Owned,Clay Loam,FPO,479907.19,37.16,-14.57,0.55,0,786.41
F00588,2022,Cuttack,2.45,Soybean,Yes,54.27,Irrigated,Owned,Laterite,Local Trader,526081.15,32.82,-8.39,0.45,0,765.29
F00589,2022,Mayurbhanj,0.5,Wheat,Yes,54.07,Irrigated,Owned,Laterite,APMC,471231.45,15.32,25.62,0.622,0,774.19
F00590,2022,Puri,3.84,Sugarcane,Yes,82.54,Irrigated,Owned,Black,APMC,538873.05,26.53,33.21,0.474,1,371.36
F00591,2023,Bhadrak,15.07,Sugarcane,Yes,90.63,Irrigated,Owned,Laterite,FPO,252570.04,35.22,14.46,0.584,0,899.7
F00592,2022,Bhadrak,0.56,Soybean,No,55.66,Irrigated,Owned,Red,FPO,301487.9,10.48,12.12,0.493,0,661.4
F00593,2022,Ganjam,7.75,Sugarcane,Yes,66.68,Rainfed,Owned,Black,APMC,162418.78,5.08,3.4,0.528,1,375.72
F00594,2022,Bhadrak,6.36,Soybean,Yes,72.34,Irrigated,Tenant,Black,APMC,467025.61,39.56,-9.06,0.583,0,847.62
F00595,2023,Cuttack,9.62,Cotton,Yes,55.71,Irrigated,Owned,Laterite,Contract Buyer,391328.1,10.39,-11.22,0.707,0,814.68
F00596,2023,Ganjam,11.2,Sugarcane,Yes,61.37,Irrigated,Owned,Black,APMC,603860.29,12.69,15.75,0.586,1,399.22
F00597,2022,Balasore,13.03,Cotton,Yes,56.55,Irrigated,Owned,Red,Local Trader,311242.76,19.28,19.09,0.46,0,834.79
F00598,2024,Mayurbhanj,10.62,Maize,No,75.57,Rainfed,Owned,Black,FPO,218591.91,31.89,1.84,0.673,0,817.86
F00599,2022,Cuttack,10.1,Sugarcane,Yes,100,Irrigated,Owned,Alluvial,FPO,395984.0,40.47,-20.74,0.728,0,902.52
F00600,2023,Puri,7.14,Cotton,Yes,63.61,Irrigated,Owned,Clay Loam,Local Trader,387131.6,41.49,-23.65,0.752,0,814.55
F00601,2022,Bhadrak,6.97,Sugarcane,No,72.18,Rainfed,Owned,Black,APMC,649003.09,35.61,6.1,0.738,0,716.46
F00602,2024,Cuttack,7.75,Maize,No,27.74,Irrigated,Owned,Alluvial,Local Trader,465098.53,22.62,-23.47,0.469,0,686.81
F00603,2022,Bhadrak,7.03,Sugarcane,Yes,73.21,Irrigated,Owned,Laterite,Local Trader,531887.0,24.03,-13.05,0.426,0,814.25
F00604,2023,Mayurbhanj,14.11,Sugarcane,Yes,68.32,Rainfed,Owned,Sandy Loam,Contract Buyer,526035.2,40.54,13.86,0.522,0,847.64
F00605,2024,Mayurbhanj,9.69,Millets,Yes,42.75,Rainfed,Tenant,Black,FPO,142113.33,18.72,-7.53,0.642,0,845.49
F00606,2023,Ganjam,5.0,Cotton,Yes,58.81,Irrigated,Tenant,Laterite,Contract Buyer,586917.13,22.26,-19.27,0.494,0,782.15
F00607,2023,Bhadrak,3.91,Rice,Yes,92.1,Rainfed,Owned,Alluvial,APMC,136995.62,40.53,-4.78,0.404,0,896.94
F00608,2024,Ganjam,9.02,Sugarcane,Yes,46.8,Irrigated,Owned,Sandy Loam,Local Trader,295577.38,39.26,6.34,0.479,0,786.56
F00609,2023,Bhadrak,7.06,Rice,Yes,55.06,Rainfed,Owned,Laterite,APMC,280369.19,12.24,-11.93,0.575,0,836.1
F00610,2022,Ganjam,0.59,Sugarcane,Yes,53.31,Irrigated,Owned,Sandy Loam,FPO,178375.07,33.31,9.53,0.481,0,709.34
F00611,2024,Cuttack,14.17,Sugarcane,Yes,63.82,Irrigated,Tenant,Black,FPO,617838.76,14.33,-20.86,0.601,0,855.81
F00612,2023,Balasore,8.47,Wheat,Yes,74.82,Rainfed,Tenant,Red,APMC,376902.72,35.18,-33.8,0.636,0,901.09
F00613,2022,Cuttack,7.4,Rice,Yes,66.4,Rainfed,Owned,Clay Loam,APMC,239606.64,28.83,4.89,0.629,0,844.71
F00614,2024,Mayurbhanj,12.61,Wheat,Yes,88.87,Rainfed,Tenant,Black,Local Trader,611517.93,15.43,25.46,0.632,0,956.08
F00615,2022,Cuttack,0.82,Maize,No,60.14,Irrigated,Owned,Black,Contract Buyer,440035.97,13.5,8.56,0.453,0,674.18
F00616,2023,Puri,17.15,Cotton,No,66.07,Irrigated,Owned,Black,FPO,597071.23,34.49,7.97,0.465,0,775.71
F00617,2024,Balasore,9.81,Maize,Yes,69.21,Irrigated,Tenant,Black,Local Trader,82020.55,5.86,11.41,0.482,0,882.67
F00618,2022,Cuttack,11.76,Soybean,Yes,76.78,Irrigated,Owned,Black,FPO,403587.99,24.76,-3.44,0.415,0,892.98
F00619,2023,Cuttack,17.38,Rice,No,83.3,Irrigated,Owned,Laterite,FPO,438965.62,5.21,18.78,0.88,0,840.21
F00620,2023,Mayurbhanj,11.28,Wheat,Yes,52.44,Irrigated,Tenant,Laterite,FPO,595332.43,21.73,-3.15,0.712,0,864.73
F00621,2024,Ganjam,4.93,Wheat,Yes,89.18,Irrigated,Owned,Clay Loam,FPO,341025.18,24.18,13.33,0.416,0,907.03
F00622,2022,Balasore,7.25,Sugarcane,Yes,47.47,Irrigated,Owned,Alluvial,Contract Buyer,109289.85,25.61,-4.82,0.342,0,753.16
F00623,2023,Cuttack,12.56,Rice,Yes,67.23,Irrigated,Tenant,Red,APMC,543403.91,19.32,2.75,0.682,0,901.44
F00624,2022,Ganjam,10.75,Maize,Yes,72.97,Irrigated,Owned,Clay Loam,FPO,83721.01,28.4,-3.6,0.484,0,878.42
F00625,2022,Balasore,12.82,Soybean,Yes,44.99,Rainfed,Tenant,Red,Contract Buyer,147130.36,10.33,-12.18,0.722,1,396.58
F00626,2022,Mayurbhanj,10.17,Sugarcane,Yes,90.16,Rainfed,Owned,Laterite,Contract Buyer,370799.02,17.03,-1.27,0.39,0,882.32
F00627,2024,Puri,16.87,Wheat,Yes,76.97,Rainfed,Tenant,Alluvial,APMC,387316.63,7.5,6.49,0.736,0,942.36
F00628,2023,Mayurbhanj,9.12,Soybean,Yes,71.54,Rainfed,Owned,Clay Loam,Local Trader,300962.89,9.79,-40.18,0.415,0,875.27
F00629,2023,Puri,1.96,Maize,No,63.87,Rainfed,Owned,Alluvial,Local Trader,376900.0,32.69,27.37,0.718,0,705.03
F00630,2024,Mayurbhanj,13.69,Wheat,Yes,41.94,Rainfed,Owned,Laterite,FPO,522712.0,19.64,-8.57,0.242,0,859.16
F00631,2022,Cuttack,12.54,Rice,Yes,56.39,Irrigated,Tenant,Red,APMC,554509.17,5.17,-13.32,0.291,0,865.33
F00632,2022,Balasore,0.74,Cotton,No,41.0,Irrigated,Owned,Clay Loam,FPO,234886.15,2.54,-31.69,0.433,0,611.74
F00633,2022,Balasore,16.71,Sugarcane,Yes,49.39,Rainfed,Owned,Black,Contract Buyer,649217.11,5.54,-16.89,0.558,1,366.61
F00634,2023,Mayurbhanj,4.35,Sugarcane,No,60.06,Rainfed,Owned,Laterite,APMC,571679.55,27.68,-16.22,0.675,0,674.64
F00635,2022,Cuttack,6.97,Millets,Yes,62.69,Rainfed,Tenant,Sandy Loam,FPO,268494.41,29.09,0.77,0.529,0,854.24
F00636,2023,Bhadrak,2.68,Cotton,Yes,72.92,Irrigated,Owned,Red,FPO,216519.82,37.15,2.36,0.531,0,792.68
F00637,2023,Mayurbhanj,5.19,Millets,No,80.25,Irrigated,Owned,Clay Loam,Contract Buyer,334049.39,20.93,-20.96,0.25,0,790.4
F00638,2023,Cuttack,14.67,Rice,Yes,51.99,Irrigated,Owned,Black,Contract Buyer,464104.4,29.21,-14.29,0.524,0,867.8
F00639,2022,Ganjam,2.42,Soybean,Yes,54.86,Rainfed,Owned,Alluvial,FPO,273184.09,11.33,37.36,0.593,1,343.54
F00640,2023,Ganjam,12.54,Cotton,No,89.3,Rainfed,Owned,Red,FPO,432542.53,15.16,28.17,0.569,0,819.33
F00641,2023,Puri,7.11,Wheat,Yes,64.25,Irrigated,Owned,Sandy Loam,Contract Buyer,381458.05,35.1,-1.28,0.826,0,851.56
F00642,2022,Balasore,7.85,Millets,Yes,53.27,Irrigated,Owned,Red,Contract Buyer,214946.77,2.73,-16.08,0.652,0,835.15
F00643,2024,Ganjam,8.88,Sugarcane,Yes,45.27,Irrigated,Owned,Black,FPO,557877.83,16.83,-5.13,0.652,0,782.09
F00644,2023,Ganjam,13.35,Cotton,Yes,85.37,Irrigated,Owned,Sandy Loam,FPO,185417.79,10.52,9.5,0.579,0,906.48
F00645,2023,Bhadrak,8.71,Rice,Yes,19.74,Rainfed,Owned,Sandy Loam,APMC,147961.76,1.87,0.32,0.469,0,764.4
F00646,2023,Balasore,11.1,Soybean,No,86.88,Rainfed,Owned,Clay Loam,APMC,221546.2,30.54,-21.96,0.414,0,836.82
F00647,2023,Balasore,13.1,Millets,Yes,99.06,Irrigated,Owned,Clay Loam,Contract Buyer,149563.19,3.37,-13.93,0.539,0,980
F00648,2022,Balasore,6.06,Maize,No,84.43,Irrigated,Owned,Black,Local Trader,640657.08,35.85,-2.34,0.569,0,784.91
F00649,2022,Balasore,3.42,Sugarcane,No,56.86,Irrigated,Owned,Red,Local Trader,170222.45,28.05,-17.06,0.644,0,660.74
F00650,2022,Bhadrak,9.62,Cotton,Yes,80.12,Rainfed,Owned,Black,APMC,610793.61,27.67,-19.9,0.459,0,856.46
F00651,2024,Bhadrak,5.27,Maize,Yes,100,Irrigated,Owned,Red,APMC,542339.15,33.1,-12.39,0.604,0,911.98
F00652,2023,Ganjam,8.74,Millets,No,53.98,Irrigated,Owned,Clay Loam,FPO,267799.84,11.74,-42.11,0.706,1,345.0
F00653,2022,Bhadrak,17.45,Wheat,Yes,49.65,Irrigated,Owned,Red,Contract Buyer,515022.78,30.03,-23.34,0.519,0,864.35
F00654,2024,Puri,17.43,Millets,No,68.1,Irrigated,Owned,Alluvial,FPO,601390.75,40.61,2.55,0.637,0,838.65
F00655,2023,Mayurbhanj,3.01,Wheat,Yes,76.55,Rainfed,Owned,Clay Loam,APMC,533343.94,5.61,12.08,0.571,1,431.14
F00656,2024,Bhadrak,4.2,Millets,Yes,46.07,Irrigated,Owned,Sandy Loam,FPO,511443.99,0.44,-11.89,0.713,0,808.36
F00657,2023,Balasore,6.9,Wheat,Yes,62.4,Irrigated,Owned,Black,Local Trader,408008.31,29.92,1.31,0.642,0,858.18
F00658,2024,Puri,4.9,Cotton,Yes,37.22,Rainfed,Tenant,Red,FPO,399209.8,7.3,-22.17,0.359,1,308.65
F00659,2023,Bhadrak,12.78,Sugarcane,Yes,60.54,Rainfed,Owned,Laterite,FPO,535552.48,30.94,34.95,0.478,0,837.72
F00660,2023,Balasore,0.86,Sugarcane,No,40.78,Rainfed,Owned,Red,APMC,161134.25,39.84,-4.12,0.497,1,170.96
F00661,2023,Balasore,12.6,Cotton,No,83.01,Rainfed,Owned,Red,Local Trader,582966.59,21.11,12.73,0.369,0,809.4
F00662,2022,Balasore,17.3,Sugarcane,No,70.04,Rainfed,Tenant,Laterite,FPO,535760.86,40.63,-6.61,0.499,0,755.16
F00663,2024,Puri,6.86,Millets,Yes,57.41,Irrigated,Tenant,Black,APMC,424531.21,17.44,13.77,0.445,0,854.94
F00664,2023,Mayurbhanj,13.08,Maize,Yes,57.58,Rainfed,Owned,Alluvial,Local Trader,548361.47,26.87,7.33,0.299,0,875.11
F00665,2022,Balasore,14.53,Wheat,No,56.06,Rainfed,Owned,Clay Loam,Contract Buyer,355010.59,41.81,-6.73,0.39,0,778.46
F00666,2023,Balasore,9.95,Wheat,Yes,58.43,Rainfed,Owned,Sandy Loam,FPO,415663.98,3.95,-10.76,0.733,0,866.98
F00667,2022,Ganjam,4.26,Maize,No,76.26,Irrigated,Owned,Alluvial,Contract Buyer,317919.03,17.52,-15.63,0.686,0,742.62
F00668,2024,Puri,11.73,Soybean,Yes,33.51,Rainfed,Owned,Black,Contract Buyer,506713.13,3.86,-4.34,0.356,1,391.0
F00669,2023,Puri,4.63,Rice,Yes,62.77,Rainfed,Owned,Laterite,Local Trader,142339.23,21.84,0.26,0.491,0,822.67
F00670,2023,Cuttack,2.31,Wheat,No,80.2,Irrigated,Tenant,Laterite,Local Trader,598874.08,13.96,11.08,0.704,0,760.05
F00671,2024,Ganjam,1.15,Rice,Yes,75.46,Irrigated,Owned,Alluvial,Contract Buyer,604421.2,15.62,10.36,0.46,0,835.11
F00672,2024,Mayurbhanj,12.56,Cotton,No,58.56,Irrigated,Owned,Black,Local Trader,275486.84,39.06,19.43,0.281,0,763.9
F00673,2023,Ganjam,2.35,Cotton,No,52.52,Irrigated,Owned,Laterite,Local Trader,103045.02,40.99,0.94,0.568,0,650.8
F00674,2022,Balasore,13.86,Millets,Yes,81.54,Irrigated,Owned,Red,Contract Buyer,317557.31,11.47,-6.1,0.474,0,940.31
F00675,2022,Mayurbhanj,14.55,Wheat,Yes,89.62,Rainfed,Owned,Sandy Loam,Local Trader,537583.03,4.89,-8.46,0.728,0,951.72
F00676,2023,Balasore,17.42,Maize,Yes,53.12,Rainfed,Owned,Sandy Loam,Local Trader,308912.85,34.65,2.04,0.71,0,866.83
F00677,2023,Ganjam,2.8,Rice,Yes,82.79,Irrigated,Owned,Sandy Loam,FPO,472482.7,17.79,1.11,0.431,0,858.26
F00678,2023,Bhadrak,17.06,Millets,Yes,77.97,Irrigated,Owned,Red,FPO,607541.02,12.76,-11.22,0.405,0,942.23
F00679,2023,Cuttack,2.12,Wheat,Yes,64.58,Rainfed,Tenant,Laterite,Contract Buyer,121192.72,41.36,18.96,0.436,0,807.78
F00680,2022,Ganjam,11.66,Rice,No,62.63,Rainfed,Owned,Clay Loam,Local Trader,338695.69,39.62,-23.76,0.664,0,791.47
F00681,2023,Mayurbhanj,5.04,Soybean,Yes,74.2,Rainfed,Tenant,Laterite,APMC,363200.35,38.57,2.57,0.429,0,843.89
F00682,2023,Mayurbhanj,3.31,Millets,Yes,50.56,Irrigated,Owned,Alluvial,Local Trader,437697.33,20.92,33.44,0.483,0,795.71
F00683,2022,Bhadrak,0.59,Maize,Yes,100,Irrigated,Owned,Red,Local Trader,245709.63,34.84,5.39,0.386,0,860.49
F00684,2024,Puri,7.42,Millets,Yes,70.43,Irrigated,Owned,Sandy Loam,Contract Buyer,414053.62,11.76,-5.95,0.501,0,893.08
F00685,2023,Mayurbhanj,15.71,Sugarcane,Yes,53.43,Rainfed,Owned,Alluvial,APMC,586857.64,17.68,3.43,0.853,0,816.46
F00686,2024,Cuttack,7.87,Wheat,No,82.22,Rainfed,Owned,Sandy Loam,Contract Buyer,531983.82,10.5,18.9,0.648,0,823.79
F00687,2024,Bhadrak,8.34,Soybean,Yes,75.06,Rainfed,Tenant,Laterite,APMC,422865.64,2.85,34.1,0.607,0,892.37
F00688,2024,Bhadrak,2.33,Cotton,No,46.54,Rainfed,Owned,Alluvial,Contract Buyer,440481.57,12.0,36.63,0.515,1,214.79
F00689,2023,Bhadrak,10.7,Maize,Yes,80.32,Irrigated,Owned,Laterite,Contract Buyer,270837.2,27.9,62.48,0.449,0,911.76
F00690,2022,Balasore,3.37,Rice,No,75.81,Rainfed,Tenant,Black,FPO,377161.64,29.8,31.43,0.459,0,750.29
F00691,2022,Mayurbhanj,3.6,Wheat,Yes,66.35,Rainfed,Owned,Clay Loam,FPO,432990.75,38.66,22.3,0.632,0,824.03
F00692,2022,Ganjam,14.66,Maize,Yes,94.24,Irrigated,Owned,Black,FPO,645610.44,13.31,-15.71,0.505,0,952.92
F00693,2024,Mayurbhanj,7.36,Cotton,Yes,73.96,Irrigated,Owned,Laterite,Contract Buyer,159846.42,0.87,-31.29,0.7,0,844.08
F00694,2023,Balasore,2.53,Cotton,No,74.09,Irrigated,Owned,Sandy Loam,Local Trader,240694.13,31.59,-10.37,0.432,0,708.23
F00695,2022,Puri,16.19,Cotton,Yes,81.86,Rainfed,Owned,Red,APMC,120286.4,13.6,-21.13,0.623,0,895.56
F00696,2023,Cuttack,12.36,Rice,Yes,24.5,Irrigated,Tenant,Sandy Loam,FPO,644536.96,5.03,18.4,0.608,0,809.53
F00697,2023,Puri,5.79,Soybean,Yes,59.51,Irrigated,Owned,Sandy Loam,APMC,142208.78,4.07,-2.55,0.815,0,813.7
F00698,2024,Puri,12.76,Wheat,Yes,58.59,Irrigated,Tenant,Clay Loam,APMC,175512.21,29.51,-0.56,0.484,0,890.03
F00699,2024,Cuttack,7.46,Millets,Yes,94.26,Irrigated,Owned,Clay Loam,APMC,341530.05,39.23,-30.85,0.578,0,942.33
F00700,2024,Bhadrak,1.63,Rice,Yes,83.37,Rainfed,Owned,Clay Loam,APMC,268440.7,18.93,-0.51,0.723,0,842.22
F00701,2024,Balasore,6.46,Cotton,No,49.4,Irrigated,Owned,Alluvial,Local Trader,615157.55,25.37,49.9,0.702,0,698.16
